method,resize_ratio,region_threshold,bbox_padding,total_samples,crop_accuracy,stage1_accuracy,stage2_accuracy,stage3_accuracy,avg_stage1_time,avg_stage2_time,avg_stage3_time,avg_total_time,avg_stage1_tflops,avg_stage2_tflops,avg_total_tflops,timestamp
final_0917,0.2,0.15,0,334,93.11,25.15,82.34,82.04,0.2113,0.5229,0.0001,0.7343,1.77,9.0,10.77,2025-09-17 04:28:43
final_0917,0.2,0.1,0,334,95.21,25.15,85.93,86.83,0.2113,0.6476,0.0001,0.8589,1.77,11.61,13.38,2025-09-17 04:31:08
final_0917,0.2,0.07,0,334,96.41,25.15,84.73,85.63,0.2143,0.7661,0.0001,0.9805,1.77,14.0,15.77,2025-09-17 04:34:15
final_0917,0.2,0.15,10,334,93.11,25.15,81.44,81.74,0.2105,0.5261,0.0001,0.7367,1.77,9.24,11.01,2025-09-17 04:48:58
final_0917,0.2,0.1,10,334,95.21,25.15,85.33,85.93,0.2091,0.6622,0.0001,0.8714,1.77,11.87,13.64,2025-09-17 04:53:54
final_0917,0.2,0.07,10,334,96.41,25.15,85.93,86.83,0.2093,0.7777,0.0001,0.9871,1.77,14.26,16.02,2025-09-17 05:00:04
final_0917,0.2,0.15,20,334,94.01,25.15,84.73,84.73,0.2083,0.5351,0.0001,0.7435,1.77,9.52,11.29,2025-09-17 05:09:26
final_0917,0.2,0.1,20,334,95.51,25.15,86.83,86.83,0.2102,0.6685,0.0001,0.8787,1.77,12.15,13.91,2025-09-17 05:17:05
final_0917,0.2,0.07,20,334,96.71,25.15,87.13,87.43,0.2089,0.7921,0.0001,1.0011,1.77,14.55,16.31,2025-09-17 05:26:17
final_0917,0.2,0.15,30,334,94.01,25.15,83.53,83.53,0.2125,0.561,0.0001,0.7736,1.77,9.82,11.59,2025-09-17 05:30:25
final_0917,0.2,0.1,30,334,95.51,25.15,86.53,86.53,0.2068,0.6853,0.0001,0.8922,1.77,12.44,14.2,2025-09-17 05:40:34
final_0917,0.2,0.15,40,334,94.31,25.15,84.13,85.03,0.2112,0.569,0.0001,0.7803,1.77,10.11,11.88,2025-09-17 05:51:45
final_0917,0.2,0.07,30,334,96.71,25.15,86.23,86.23,0.211,0.8115,0.0001,1.0226,1.77,14.85,16.62,2025-09-17 05:53:09
final_0917,0.2,0.1,40,334,95.81,25.15,85.63,85.93,0.2101,0.6985,0.0001,0.9086,1.77,12.75,14.52,2025-09-17 06:04:35
final_0917,0.2,0.15,50,334,94.61,25.15,85.33,85.63,0.2124,0.5877,0.0001,0.8001,1.77,10.41,12.17,2025-09-17 06:13:27
final_0917,0.2,0.07,40,334,97.01,25.15,86.53,85.93,0.2109,0.8232,0.0001,1.0342,1.77,15.13,16.9,2025-09-17 06:20:25
final_0917,0.2,0.1,50,334,96.11,25.15,86.83,87.43,0.2088,0.7044,0.0001,0.9132,1.77,13.06,14.83,2025-09-17 06:28:55
final_0917,0.25,0.15,0,334,93.41,39.22,82.93,84.73,0.2309,0.3239,0.0001,0.555,2.31,5.14,7.45,2025-09-17 06:31:04
final_0917,0.25,0.12,0,334,94.91,39.22,84.43,86.23,0.2335,0.3728,0.0001,0.6064,2.31,6.2,8.51,2025-09-17 06:32:35
final_0917,0.2,0.07,50,334,97.31,25.15,86.83,87.72,0.2113,0.8315,0.0001,1.0429,1.77,15.46,17.23,2025-09-17 06:48:04
final_0917,0.25,0.15,10,334,93.71,39.22,83.83,84.43,0.2316,0.3357,0.0001,0.5674,2.31,5.33,7.64,2025-09-17 06:49:12
final_0917,0.25,0.12,10,334,95.21,39.22,85.63,85.33,0.2289,0.3798,0.0001,0.6088,2.31,6.4,8.71,2025-09-17 06:51:12
final_0917,0.25,0.15,20,334,94.01,39.22,83.53,83.53,0.2285,0.3499,0.0001,0.5785,2.31,5.59,7.9,2025-09-17 07:07:26
final_0917,0.25,0.07,0,334,97.31,39.22,87.13,87.72,0.2274,0.5087,0.0001,0.7361,2.31,9.0,11.31,2025-09-17 07:08:31
final_0917,0.25,0.12,20,334,95.81,39.22,86.53,86.23,0.2295,0.4035,0.0001,0.633,2.31,6.68,8.99,2025-09-17 07:10:11
final_0917,0.25,0.15,30,334,94.61,39.22,82.63,83.83,0.23,0.3603,0.0001,0.5904,2.31,5.81,8.13,2025-09-17 07:25:57
final_0917,0.25,0.12,30,334,95.81,39.22,84.73,85.33,0.2304,0.4106,0.0001,0.6411,2.31,6.91,9.22,2025-09-17 07:29:26
final_0917,0.25,0.07,10,334,97.31,39.22,87.72,88.62,0.2272,0.525,0.0001,0.7523,2.31,9.2,11.51,2025-09-17 07:29:31
final_0917,0.25,0.15,40,334,94.61,39.22,82.93,83.53,0.2298,0.3707,0.0001,0.6006,2.31,6.07,8.38,2025-09-17 07:44:37
final_0917,0.25,0.12,40,334,95.81,39.22,85.33,86.23,0.228,0.4214,0.0001,0.6495,2.31,7.17,9.49,2025-09-17 07:48:55
final_0917,0.25,0.15,50,334,94.91,39.22,83.53,84.43,0.2268,0.3764,0.0001,0.6033,2.31,6.38,8.7,2025-09-17 08:03:24
final_0917,0.25,0.12,50,334,96.11,39.22,86.23,86.23,0.2265,0.4311,0.0001,0.6577,2.31,7.52,9.83,2025-09-17 08:08:31
final_0917,0.3,0.15,0,334,96.71,44.31,87.13,87.43,0.2498,0.2785,0.0001,0.5284,2.95,3.91,6.86,2025-09-17 08:20:41
final_0917,0.3,0.12,0,334,97.01,44.31,87.43,88.02,0.251,0.2996,0.0001,0.5507,2.95,4.43,7.38,2025-09-17 08:26:11
final_0917,0.3,0.15,10,334,96.71,44.31,88.02,87.72,0.2502,0.2834,0.0001,0.5337,2.95,4.13,7.09,2025-09-17 08:38:00
final_0917,0.3,0.1,0,334,97.6,44.31,88.02,87.43,0.2493,0.3174,0.0001,0.5668,2.95,4.88,7.84,2025-09-17 08:43:20
final_0917,0.3,0.12,10,334,97.01,44.31,86.83,88.02,0.2529,0.3091,0.0001,0.5621,2.95,4.66,7.62,2025-09-17 08:44:03
final_0917,0.3,0.15,20,334,97.31,44.31,88.02,87.72,0.2497,0.2924,0.0001,0.5423,2.95,4.34,7.29,2025-09-17 08:55:30
final_0917,0.3,0.1,10,334,97.6,44.31,87.72,87.72,0.2475,0.3234,0.0001,0.571,2.95,5.13,8.08,2025-09-17 09:01:19
final_0917,0.3,0.12,20,334,97.6,44.31,88.92,89.22,0.2526,0.3169,0.0001,0.5696,2.95,4.89,7.84,2025-09-17 09:02:08
final_0917,0.3,0.15,30,334,97.31,44.31,88.62,87.43,0.2511,0.3015,0.0001,0.5527,2.95,4.56,7.51,2025-09-17 09:13:16
